0.307617,-0.512939,-0.640625
0.314453,-0.487061,-0.641602
0.307373,-0.499512,-0.645752
0.311279,-0.497803,-0.650391
0.306885,-0.498535,-0.64209
0.310059,-0.499023,-0.647461
0.30835,-0.503174,-0.631348
0.307129,-0.496338,-0.640869
0.30835,-0.503418,-0.648193
0.310547,-0.485352,-0.638916
0.325439,-0.498535,-0.644775
0.313477,-0.493896,-0.646484
0.310791,-0.499512,-0.643066
0.305908,-0.499756,-0.645996
0.309814,-0.499023,-0.655029
0.311523,-0.497803,-0.643799
0.311768,-0.486084,-0.649414
0.314697,-0.486572,-0.639648
0.307373,-0.498291,-0.625977
0.303467,-0.487061,-0.637207
0.297119,-0.499756,-0.6521
0.30835,-0.504639,-0.639404
0.306396,-0.503418,-0.643799
0.310059,-0.492676,-0.646729
0.298584,-0.500732,-0.635986
0.306641,-0.498535,-0.633545
0.308594,-0.5,-0.652344
0.310547,-0.500488,-0.652832
0.308594,-0.498535,-0.63208
0.308838,-0.49585,-0.645752
0.313477,-0.493164,-0.645508
0.30835,-0.497803,-0.647949
0.310547,-0.499023,-0.656006
0.311035,-0.496582,-0.649902
0.308105,-0.500977,-0.638428
0.305176,-0.498291,-0.646973
0.30957,-0.5,-0.628906
0.308838,-0.51001,-0.633789
0.307129,-0.497559,-0.628906
0.312988,-0.496582,-0.633057
0.310547,-0.48584,-0.635254
0.307129,-0.496338,-0.641113
0.297363,-0.515137,-0.651123
0.303955,-0.515137,-0.645264
0.297119,-0.513184,-0.628906
0.326172,-0.504639,-0.645996
0.297607,-0.499268,-0.625732
0.311768,-0.510254,-0.64624
0.314697,-0.498047,-0.637695
0.305664,-0.497314,-0.641602
0.311035,-0.502686,-0.665283
0.323242,-0.491699,-0.625732
0.309326,-0.498779,-0.648193
0.308594,-0.510742,-0.645752
0.310547,-0.498535,-0.648682
0.299316,-0.496582,-0.635742
0.313965,-0.49707,-0.656006
0.32666,-0.496582,-0.63208
0.30957,-0.499023,-0.640381
0.30957,-0.500977,-0.654297
0.311523,-0.484619,-0.637695
0.312012,-0.5,-0.643555
0.301025,-0.501953,-0.647461
0.305664,-0.49292,-0.635498
0.3125,-0.485596,-0.650146
0.31543,-0.498047,-0.625488
0.302002,-0.487061,-0.630615
0.29834,-0.496826,-0.639404
0.308838,-0.497314,-0.625732
0.315918,-0.500488,-0.645508
0.297852,-0.502686,-0.635254
0.308594,-0.496582,-0.642822
0.304932,-0.493652,-0.642578
0.327881,-0.499512,-0.640381
0.312012,-0.498779,-0.646484
0.311279,-0.499756,-0.653564
0.326172,-0.49707,-0.64917
0.31543,-0.510742,-0.642578
0.312988,-0.497314,-0.646729
0.307373,-0.500488,-0.643555
0.309082,-0.495605,-0.643555
0.308105,-0.494629,-0.646484
0.305176,-0.49707,-0.639404
0.30835,-0.497803,-0.638184
0.307617,-0.498779,-0.653564
0.309814,-0.494141,-0.626465
0.327148,-0.513428,-0.637451
0.304688,-0.514648,-0.648682
